Number of components,Initiation method,BIC score
2,random_from_data,353.2944168519037
2,k-means++,372.0213374970409
2,random,381.9158800521942
2,kmeans,400.49189899451574
3,random_from_data,553.6872594986413
3,kmeans,565.6434930849415
3,k-means++,617.6392355391614
3,random,813.2316201964409
4,kmeans,887.1058412115044
4,k-means++,1049.7077510334686
5,kmeans,1059.3993112908788
4,random,1388.6930334873682
5,random_from_data,1741.81618811068
5,k-means++,34194.26492151451
5,random,166776.15282225568
4,random_from_data,201117.83890430527
